start
start
start
RANK=2 LOCAL_RANK=2 WORLD=3
RANK=1 LOCAL_RANK=1 WORLD=3
RANK=0 LOCAL_RANK=0 WORLD=3
total desired batch size : 491520
calculated gradient accumulation steps : 10
found 99 shards for split train
found 1 shards for split val
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
validation loss : 10.9824
HellaSwag accuracy : 2435/10042=0.2425
step : 0 | loss : 10.981745 | tok/sec : 8204.954470215296 | lr : 7.874016e-07 | dt : 59.91s
step : 40 | loss : 9.187868 | tok/sec : 110389.86682701949 | lr : 3.228346e-05 | dt : 4.45s
step : 41 | loss : 9.192280 | tok/sec : 109965.29698377232 | lr : 3.307087e-05 | dt : 4.47s
step : 42 | loss : 9.162029 | tok/sec : 109722.95074383424 | lr : 3.385827e-05 | dt : 4.48s
step : 43 | loss : 9.124101 | tok/sec : 110343.4617377547 | lr : 3.464567e-05 | dt : 4.45s
step : 44 | loss : 9.053459 | tok/sec : 110197.80014736984 | lr : 3.543307e-05 | dt : 4.46s
step : 45 | loss : 9.025600 | tok/sec : 110444.66488258817 | lr : 3.622047e-05 | dt : 4.45s
step : 46 | loss : 8.999140 | tok/sec : 109986.34667665955 | lr : 3.700787e-05 | dt : 4.47s
step : 47 | loss : 8.975392 | tok/sec : 110590.161578413 | lr : 3.779528e-05 | dt : 4.44s
step : 48 | loss : 8.956723 | tok/sec : 110581.20434983942 | lr : 3.858268e-05 | dt : 4.44s
step : 49 | loss : 8.888853 | tok/sec : 110620.15809530985 | lr : 3.937008e-05 | dt : 4.44s
step : 50 | loss : 8.889882 | tok/sec : 110212.48097849925 | lr : 4.015748e-05 | dt : 4.46s
step : 51 | loss : 8.856237 | tok/sec : 110782.92690119696 | lr : 4.094488e-05 | dt : 4.44s
step : 52 | loss : 8.796063 | tok/sec : 110616.28819432558 | lr : 4.173228e-05 | dt : 4.44s
step : 53 | loss : 8.783554 | tok/sec : 110171.14075988099 | lr : 4.251969e-05 | dt : 4.46s
step : 54 | loss : 8.760166 | tok/sec : 110230.54282325583 | lr : 4.330709e-05 | dt : 4.46s
step : 55 | loss : 8.700451 | tok/sec : 109679.04176304975 | lr : 4.409449e-05 | dt : 4.48s
step : 56 | loss : 8.660239 | tok/sec : 110485.34024690145 | lr : 4.488189e-05 | dt : 4.45s
step : 57 | loss : 8.616670 | tok/sec : 109829.173318212 | lr : 4.566929e-05 | dt : 4.48s
step : 58 | loss : 8.623894 | tok/sec : 109806.89116352994 | lr : 4.645669e-05 | dt : 4.48s
step : 59 | loss : 8.568796 | tok/sec : 109826.06064409405 | lr : 4.724409e-05 | dt : 4.48s
step : 60 | loss : 8.537642 | tok/sec : 110440.98474294606 | lr : 4.803150e-05 | dt : 4.45s
step : 61 | loss : 8.515217 | tok/sec : 109854.4030194205 | lr : 4.881890e-05 | dt : 4.47s
step : 62 | loss : 8.443877 | tok/sec : 110066.95321237942 | lr : 4.960630e-05 | dt : 4.47s
step : 63 | loss : 8.418039 | tok/sec : 110247.76749137788 | lr : 5.039370e-05 | dt : 4.46s
step : 64 | loss : 8.394923 | tok/sec : 110197.35836917786 | lr : 5.118110e-05 | dt : 4.46s
step : 65 | loss : 8.371208 | tok/sec : 110310.26829581377 | lr : 5.196850e-05 | dt : 4.46s
step : 66 | loss : 8.301834 | tok/sec : 109998.52374198235 | lr : 5.275591e-05 | dt : 4.47s
step : 67 | loss : 8.238384 | tok/sec : 110496.0349319345 | lr : 5.354331e-05 | dt : 4.45s
step : 68 | loss : 8.208079 | tok/sec : 110059.26151680498 | lr : 5.433071e-05 | dt : 4.47s
step : 69 | loss : 8.166491 | tok/sec : 110355.68847491035 | lr : 5.511811e-05 | dt : 4.45s
step : 70 | loss : 8.156916 | tok/sec : 110512.15785476129 | lr : 5.590551e-05 | dt : 4.45s
step : 71 | loss : 8.109870 | tok/sec : 109912.4911667079 | lr : 5.669291e-05 | dt : 4.47s
step : 72 | loss : 8.107214 | tok/sec : 109941.59346130512 | lr : 5.748031e-05 | dt : 4.47s
step : 73 | loss : 8.029884 | tok/sec : 110931.57903125366 | lr : 5.826772e-05 | dt : 4.43s
step : 74 | loss : 7.977377 | tok/sec : 110970.62475387221 | lr : 5.905512e-05 | dt : 4.43s
step : 75 | loss : 7.912351 | tok/sec : 110949.58477705858 | lr : 5.984252e-05 | dt : 4.43s
step : 76 | loss : 7.944627 | tok/sec : 110756.93572938183 | lr : 6.062992e-05 | dt : 4.44s
step : 77 | loss : 7.859063 | tok/sec : 111467.20595231626 | lr : 6.141732e-05 | dt : 4.41s
step : 78 | loss : 7.843990 | tok/sec : 110726.65090257194 | lr : 6.220472e-05 | dt : 4.44s
step : 79 | loss : 7.798814 | tok/sec : 110271.29652453422 | lr : 6.299213e-05 | dt : 4.46s
step : 80 | loss : 7.807909 | tok/sec : 111650.53150466105 | lr : 6.377953e-05 | dt : 4.40s
step : 81 | loss : 7.704864 | tok/sec : 110758.50068724949 | lr : 6.456693e-05 | dt : 4.44s
step : 82 | loss : 7.773405 | tok/sec : 111357.23344523516 | lr : 6.535433e-05 | dt : 4.41s
step : 83 | loss : 7.727964 | tok/sec : 110445.35123801685 | lr : 6.614173e-05 | dt : 4.45s
step : 84 | loss : 7.674438 | tok/sec : 110167.72608683245 | lr : 6.692913e-05 | dt : 4.46s
step : 85 | loss : 7.619757 | tok/sec : 111489.98621723213 | lr : 6.771654e-05 | dt : 4.41s
step : 86 | loss : 7.597685 | tok/sec : 110512.72656688603 | lr : 6.850394e-05 | dt : 4.45s
step : 87 | loss : 7.617459 | tok/sec : 111300.28848243794 | lr : 6.929134e-05 | dt : 4.42s
step : 88 | loss : 7.517487 | tok/sec : 111397.66291586467 | lr : 7.007874e-05 | dt : 4.41s
step : 89 | loss : 7.523058 | tok/sec : 110696.77492671035 | lr : 7.086614e-05 | dt : 4.44s
step : 90 | loss : 7.493529 | tok/sec : 110753.12765163385 | lr : 7.165354e-05 | dt : 4.44s
step : 91 | loss : 7.438277 | tok/sec : 110716.70234428936 | lr : 7.244094e-05 | dt : 4.44s
step : 92 | loss : 7.446299 | tok/sec : 110374.11048234913 | lr : 7.322835e-05 | dt : 4.45s
step : 93 | loss : 7.465369 | tok/sec : 111507.64295517409 | lr : 7.401575e-05 | dt : 4.41s
step : 94 | loss : 7.424916 | tok/sec : 110740.8007959475 | lr : 7.480315e-05 | dt : 4.44s
step : 95 | loss : 7.445645 | tok/sec : 110913.97296327582 | lr : 7.559055e-05 | dt : 4.43s
step : 96 | loss : 7.372614 | tok/sec : 111229.1891267784 | lr : 7.637795e-05 | dt : 4.42s
step : 97 | loss : 7.365905 | tok/sec : 111067.74608069185 | lr : 7.716535e-05 | dt : 4.43s
step : 98 | loss : 7.391043 | tok/sec : 112283.2101979377 | lr : 7.795276e-05 | dt : 4.38s
step : 99 | loss : 7.400036 | tok/sec : 110103.99887246153 | lr : 7.874016e-05 | dt : 4.46s
step : 100 | loss : 7.464261 | tok/sec : 111278.3604949744 | lr : 7.952756e-05 | dt : 4.42s
step : 101 | loss : 7.442282 | tok/sec : 110625.61321619106 | lr : 8.031496e-05 | dt : 4.44s
step : 102 | loss : 7.374298 | tok/sec : 115970.54755886213 | lr : 8.110236e-05 | dt : 4.24s
step : 103 | loss : 7.353601 | tok/sec : 114820.38610263972 | lr : 8.188976e-05 | dt : 4.28s
step : 104 | loss : 7.362964 | tok/sec : 114734.82796657126 | lr : 8.267717e-05 | dt : 4.28s
step : 105 | loss : 7.322105 | tok/sec : 117920.19037597814 | lr : 8.346457e-05 | dt : 4.17s
step : 106 | loss : 7.355234 | tok/sec : 116533.71412156193 | lr : 8.425197e-05 | dt : 4.22s
step : 107 | loss : 7.337792 | tok/sec : 115652.30969114944 | lr : 8.503937e-05 | dt : 4.25s
step : 108 | loss : 7.291954 | tok/sec : 116418.43995392017 | lr : 8.582677e-05 | dt : 4.22s
step : 109 | loss : 7.270485 | tok/sec : 115519.65368046872 | lr : 8.661417e-05 | dt : 4.25s
step : 110 | loss : 7.148959 | tok/sec : 115935.8127125239 | lr : 8.740157e-05 | dt : 4.24s
step : 111 | loss : 7.245645 | tok/sec : 115685.12856685201 | lr : 8.818898e-05 | dt : 4.25s
step : 112 | loss : 7.259948 | tok/sec : 111593.17752571208 | lr : 8.897638e-05 | dt : 4.40s
step : 113 | loss : 7.188197 | tok/sec : 108152.02074587271 | lr : 8.976378e-05 | dt : 4.54s
step : 114 | loss : 7.167890 | tok/sec : 109149.49900125542 | lr : 9.055118e-05 | dt : 4.50s
step : 115 | loss : 7.201917 | tok/sec : 109611.88039347221 | lr : 9.133858e-05 | dt : 4.48s
step : 116 | loss : 7.252981 | tok/sec : 113359.5364012747 | lr : 9.212598e-05 | dt : 4.34s
step : 117 | loss : 7.098351 | tok/sec : 112299.17991341524 | lr : 9.291339e-05 | dt : 4.38s
step : 118 | loss : 7.171621 | tok/sec : 112522.39246391148 | lr : 9.370079e-05 | dt : 4.37s
step : 119 | loss : 7.090747 | tok/sec : 113198.3246388605 | lr : 9.448819e-05 | dt : 4.34s
step : 120 | loss : 7.126932 | tok/sec : 111659.91076888313 | lr : 9.527559e-05 | dt : 4.40s
step : 121 | loss : 7.149434 | tok/sec : 111937.14260675768 | lr : 9.606299e-05 | dt : 4.39s
step : 122 | loss : 7.146507 | tok/sec : 111696.68711800035 | lr : 9.685039e-05 | dt : 4.40s
step : 123 | loss : 7.088454 | tok/sec : 112694.18738131448 | lr : 9.763780e-05 | dt : 4.36s
step : 124 | loss : 7.025737 | tok/sec : 110939.84088923028 | lr : 9.842520e-05 | dt : 4.43s
step : 125 | loss : 6.959961 | tok/sec : 111527.07303418107 | lr : 9.921260e-05 | dt : 4.41s
step : 126 | loss : 6.956822 | tok/sec : 111819.98787088858 | lr : 1.000000e-04 | dt : 4.40s
step : 127 | loss : 7.030864 | tok/sec : 111735.99482377003 | lr : 1.007874e-04 | dt : 4.40s
step : 128 | loss : 6.960073 | tok/sec : 111963.36235445493 | lr : 1.015748e-04 | dt : 4.39s
step : 129 | loss : 6.977434 | tok/sec : 111305.62459851438 | lr : 1.023622e-04 | dt : 4.42s
step : 130 | loss : 6.936256 | tok/sec : 111657.00792686302 | lr : 1.031496e-04 | dt : 4.40s
step : 131 | loss : 6.966084 | tok/sec : 111529.07614692672 | lr : 1.039370e-04 | dt : 4.41s
step : 132 | loss : 6.883235 | tok/sec : 111792.26512017353 | lr : 1.047244e-04 | dt : 4.40s
step : 133 | loss : 6.980060 | tok/sec : 111808.24101128873 | lr : 1.055118e-04 | dt : 4.40s
step : 134 | loss : 6.919821 | tok/sec : 111003.19481645162 | lr : 1.062992e-04 | dt : 4.43s
step : 135 | loss : 6.872560 | tok/sec : 104646.1605505437 | lr : 1.070866e-04 | dt : 4.70s
step : 136 | loss : 6.868949 | tok/sec : 103584.9010532066 | lr : 1.078740e-04 | dt : 4.75s
step : 137 | loss : 6.817499 | tok/sec : 102118.38829445688 | lr : 1.086614e-04 | dt : 4.81s
step : 138 | loss : 6.849416 | tok/sec : 103748.85169236318 | lr : 1.094488e-04 | dt : 4.74s
step : 139 | loss : 6.844785 | tok/sec : 103442.2249038551 | lr : 1.102362e-04 | dt : 4.75s
step : 140 | loss : 6.820066 | tok/sec : 103621.92978012693 | lr : 1.110236e-04 | dt : 4.74s
step : 141 | loss : 6.808166 | tok/sec : 104108.68866644369 | lr : 1.118110e-04 | dt : 4.72s
step : 142 | loss : 6.752140 | tok/sec : 103566.81283717808 | lr : 1.125984e-04 | dt : 4.75s
step : 143 | loss : 6.717389 | tok/sec : 103372.48283781087 | lr : 1.133858e-04 | dt : 4.75s
step : 144 | loss : 6.796721 | tok/sec : 103144.0720965343 | lr : 1.141732e-04 | dt : 4.77s
step : 145 | loss : 6.772149 | tok/sec : 103467.06657641502 | lr : 1.149606e-04 | dt : 4.75s
step : 146 | loss : 6.790184 | tok/sec : 103839.88378870579 | lr : 1.157480e-04 | dt : 4.73s
step : 147 | loss : 6.730901 | tok/sec : 103456.00705449282 | lr : 1.165354e-04 | dt : 4.75s
step : 148 | loss : 6.717042 | tok/sec : 105931.22259620206 | lr : 1.173228e-04 | dt : 4.64s
step : 149 | loss : 6.934741 | tok/sec : 105798.41963587639 | lr : 1.181102e-04 | dt : 4.65s
step : 150 | loss : 6.801208 | tok/sec : 105572.7159679027 | lr : 1.188976e-04 | dt : 4.66s
step : 151 | loss : 6.882445 | tok/sec : 107990.28384280506 | lr : 1.196850e-04 | dt : 4.55s
step : 152 | loss : 6.802322 | tok/sec : 108424.15172049707 | lr : 1.204724e-04 | dt : 4.53s
step : 153 | loss : 6.794533 | tok/sec : 108873.89190846306 | lr : 1.212598e-04 | dt : 4.51s
step : 154 | loss : 6.810990 | tok/sec : 108930.81509466264 | lr : 1.220472e-04 | dt : 4.51s
step : 155 | loss : 6.775486 | tok/sec : 108580.14588698478 | lr : 1.228346e-04 | dt : 4.53s
step : 156 | loss : 6.790208 | tok/sec : 108931.30433390425 | lr : 1.236220e-04 | dt : 4.51s
step : 157 | loss : 6.771322 | tok/sec : 108603.59775230564 | lr : 1.244094e-04 | dt : 4.53s
step : 158 | loss : 6.781110 | tok/sec : 107885.17604110301 | lr : 1.251969e-04 | dt : 4.56s
step : 159 | loss : 6.765288 | tok/sec : 109130.03348405525 | lr : 1.259843e-04 | dt : 4.50s
step : 160 | loss : 6.740345 | tok/sec : 108660.14694214704 | lr : 1.267717e-04 | dt : 4.52s
step : 161 | loss : 6.678479 | tok/sec : 108477.60872613662 | lr : 1.275591e-04 | dt : 4.53s
step : 162 | loss : 6.673233 | tok/sec : 108859.57124970219 | lr : 1.283465e-04 | dt : 4.52s
step : 163 | loss : 6.748117 | tok/sec : 108572.16312407087 | lr : 1.291339e-04 | dt : 4.53s
step : 164 | loss : 6.668684 | tok/sec : 108929.63518280699 | lr : 1.299213e-04 | dt : 4.51s
step : 165 | loss : 6.628828 | tok/sec : 107960.07950229061 | lr : 1.307087e-04 | dt : 4.55s
step : 166 | loss : 6.678239 | tok/sec : 108510.0851870658 | lr : 1.314961e-04 | dt : 4.53s
step : 167 | loss : 6.679103 | tok/sec : 108820.14710784346 | lr : 1.322835e-04 | dt : 4.52s
step : 168 | loss : 6.781607 | tok/sec : 108301.81565468016 | lr : 1.330709e-04 | dt : 4.54s
step : 169 | loss : 6.650973 | tok/sec : 108322.97885836294 | lr : 1.338583e-04 | dt : 4.54s
step : 170 | loss : 6.603693 | tok/sec : 108253.13584301957 | lr : 1.346457e-04 | dt : 4.54s
step : 171 | loss : 6.619576 | tok/sec : 108448.5574054211 | lr : 1.354331e-04 | dt : 4.53s
step : 172 | loss : 6.593408 | tok/sec : 108446.12718130084 | lr : 1.362205e-04 | dt : 4.53s
step : 173 | loss : 6.555760 | tok/sec : 108684.38969976657 | lr : 1.370079e-04 | dt : 4.52s
step : 174 | loss : 6.511952 | tok/sec : 108600.3768107773 | lr : 1.377953e-04 | dt : 4.53s
step : 175 | loss : 6.551374 | tok/sec : 108981.97301375194 | lr : 1.385827e-04 | dt : 4.51s
step : 176 | loss : 6.584670 | tok/sec : 108731.83527824296 | lr : 1.393701e-04 | dt : 4.52s
step : 177 | loss : 6.398644 | tok/sec : 108716.3938662098 | lr : 1.401575e-04 | dt : 4.52s
step : 178 | loss : 6.537122 | tok/sec : 108740.69040947912 | lr : 1.409449e-04 | dt : 4.52s
step : 179 | loss : 6.501940 | tok/sec : 109009.37410979098 | lr : 1.417323e-04 | dt : 4.51s
step : 180 | loss : 6.498564 | tok/sec : 109042.54469239201 | lr : 1.425197e-04 | dt : 4.51s
step : 181 | loss : 6.494925 | tok/sec : 108710.95916584691 | lr : 1.433071e-04 | dt : 4.52s
